id,target,comment,label,language,dataset,transformation,translation,rtt
85002,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,"En revanche, le financement des partis par l'Etat (comme dans le canton de Genève par exemple) devrait être interdit.",AGAINST,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait être interdit.,Die Finanzierung von Parteien sowie die Finanzierung von Wahlkampagnen und Volksabstimmungen sollte verboten werden.,La financement des partis ainsi que la financement des campagnes électorales et des référendums devrait être interdit.
109077,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,Il serait judicieux qu'un plus grand nombre de concitoyens puissent accéder à la propriété de leur logement,FAVOR,fr,X-Stance,Il serait judicieux qu'un plus petit nombre de concitoyens puissent accéder à la propriété de leur logement.,"Es wäre sinnvoll, dass ein kleinerer Anteil der Bürger Zugang zu ihrem Wohnraum erhält.",Il serait judicieux qu'un plus petit pourcentage de citoyens ait accès à leur logement.
122739,Etes-vous favorable à initiative populaire qui demande que le Conseil fédéral soit directement élu par le peuple?,"L'élection par le peuple a actuellement plus de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont voté ""leurs"" élus.",AGAINST,fr,X-Stance,"L'élection indirecte a actuellement plus de chance de servir le populisme que l'idée de démocratie directe. Par contre, la transparence de cette élection devrait grandement être améliorée, en permettant aux citoyens de savoir comment ont été choisis leurs élus.","Die indirekte Wahl hat derzeit mehr Chancen, dem Populismus zu dienen als der Idee der direkten Demokratie. Allerdings sollte die Transparenz dieser Wahl stark verbessert werden, indem die Bürger erfahren, wie ihre gewählten Vertreter ausgewählt wurden.","L'élection indirecte a actuellement plus de chances de servir le populisme que l'idée de la démocratie directe. Cependant, il faudrait améliorer considérablement la transparence de cette élection en informant les citoyens sur la manière dont leurs représentants élus ont été choisis."
25054,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,"Il est important de promouvoir toutes les avancées technologiques par l'encouragement à la recherche au sein de nos HES-EPF-Startups d'une part, et d'autre part élargir le développement de la voie diplotique de la science pour garantir des solutions globales aux énergies renouvelables.",FAVOR,fr,X-Stance,"Il n'est pas important de promouvoir toutes les avancées technologiques par l'encouragement à la recherche au sein de nos HES-EPF-Startups d'une part, et d'autre part restreindre le développement de la voie diplotique de la science pour limiter les solutions globales aux énergies renouvelables.","Es ist nicht wichtig, alle technologischen Fortschritte durch die Förderung der Forschung in unseren HES-EPF-Startups zu fördern, einerseits, und andererseits die Entwicklung der diplomatischen Weg der Wissenschaft einzuschränken, um globale Lösungen für erneuerbare Energien zu begrenzen.","Il n'est pas important de promouvoir tous les progrès technologiques grâce à la promotion de la recherche dans nos HES-EPF-startups, d'une part, et d'autre part, de restreindre le développement du chemin diplomatique de la science pour limiter les solutions mondiales aux énergies renouvelables."
88710,Êtes-vous en faveur d'une libéralisation complète des horaires d'ouverture des magasins (fixation des horaires d'ouverture selon leur propre appréciation)?,"Je suis par contre favorable à une certaine flexibilité pour les magasins de petite taille, comme cela se pratique par exemple à Lausanne. De manière générale, avec la possibilité de faire ses achats on-line, il est moins nécessaire qu'avant d'avoir en permanence des magasins ouverts.",AGAINST,fr,X-Stance,"Je suis contre une libéralisation complète des horaires d'ouverture des magasins, car je pense que les magasins de petite taille devraient fixer leurs propres horaires d'ouverture en fonction de leur propre appréciation. De plus, avec la possibilité de faire ses achats en ligne, il n'est pas nécessaire d'avoir des magasins ouverts en permanence.","Ich bin gegen eine vollständige Liberalisierung der Öffnungszeiten von Geschäften, da ich denke, dass kleine Geschäfte ihre eigenen Öffnungszeiten nach eigenem Ermessen festlegen sollten. Darüber hinaus ist es angesichts der Möglichkeit, Einkäufe online zu tätigen, nicht erforderlich, dass Geschäfte ständig geöffnet sind.","Je suis contre une libéralisation complète des horaires d'ouverture des commerces, car je pense que les petits commerces devraient fixer leurs propres horaires à leur guise. De plus, compte tenu de la possibilité d'effectuer des achats en ligne, il n'est pas nécessaire que les commerces soient ouverts en permanence."
82329,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",A condition qu'il soit accompagné d'autres mesures concrètes réalisant l'égalité femmes-hommes.,FAVOR,fr,X-Stance,Je ne suis pas favorable à la mise en place d’un service citoyen général obligatoire pour les hommes et les femmes.,"Ich bin nicht dafür, dass ein allgemeiner Bürgerdienst für Männer und Frauen obligatorisch eingeführt wird.",Je ne suis pas en faveur de l'introduction obligatoire d'un service civil général pour les hommes et les femmes.
77499,La protection contre le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit-elle être renforcée?,A mettre en lien avec le besoin de valoriser et prolonger le travail des séniors particulièrement suite à la votation de février 2014 sur l'immigration.,FAVOR,fr,X-Stance,Le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit être facilité.,Die Entlassung älterer Arbeitnehmer (über 50 Jahre) muss erleichtert werden.,La libération des travailleurs âgés (plus de 50 ans) doit être facilitée.
125418,Seriez-vous favorables à un plan hospitalier national qui pourrait également mener à la fermeture de certains hôpitaux?,"Pour un marché libre de la santé, contre un trop grande implication de l'Etat",AGAINST,fr,X-Stance,"Pour un marché libre de la santé, en faveur d'une trop grande implication de l'État.","Für einen freien Gesundheitsmarkt, zugunsten einer übermäßigen Beteiligung des Staates.","Pour un marché de la santé libre, en faveur d'une participation excessive de l'État."
88729,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?","Au besoin, si une application euro-compatible n'est pas possible, il faudra procéder à un vote de clarification.",AGAINST,fr,X-Stance,"À mon avis, le maintien des accords bilatéraux conclus avec l’UE doit avoir la priorité sur l’application rigoureuse de l’initiative sur l’immigration de masse.",Meiner Meinung nach muss die Aufrechterhaltung der bilateralen Abkommen mit der EU Vorrang vor der strikten Umsetzung der Initiative zur Masseneinwanderung haben.,"Selon moi, la préservation des accords bilatéraux avec l'UE doit avoir la priorité sur la mise en œuvre stricte de l'initiative concernant l'immigration massive."
36400,La consommation de cannabis devrait-elle être légalisée?,"Les politiques répressives en vigueurs depuis plusieurs décennies n'ont pas permis de contenir le phénomène du deal de rue. Une nouvelle approche sur cette problématique doit être sérieusement envisagée. En outre, la manne financière potentielle permettrait de pallier en partie au problème de financement de notre système de retraites.",FAVOR,fr,X-Stance,"Les politiques répressives en vigueur depuis plusieurs décennies ont permis de contenir le phénomène du deal de rue. Une nouvelle approche répressive sur cette problématique ne doit pas être sérieusement envisagée. En outre, la perte financière potentielle compromettrait en partie le problème de financement de notre système de retraites.","Die repressiven Maßnahmen, die seit mehreren Jahrzehnten gelten, haben das Phänomen des Straßenhandels eindämmen können. Eine neue repressive Herangehensweise an diese Problematik darf nicht ernsthaft in Betracht gezogen werden. Darüber hinaus würde die potenzielle finanzielle Verluste teilweise das Finanzierungsproblem unseres Rentensystems gefährden.","Les mesures répressives qui sont en vigueur depuis plusieurs décennies ont pu contenir le phénomène du commerce de rue. Une nouvelle approche répressive de cette problématique ne doit pas être sérieusement envisagée. De plus, les pertes financières potentielles pourraient menacer partiellement le problème de financement de notre système de retraite."
74331,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Ceux qui s'y opposent ont certainement des choses à dissimuler.,FAVOR,fr,X-Stance,Ceux qui s'y soutiennent ont certainement des choses à révéler.,"Diejenigen, die sich dafür einsetzen, haben sicherlich Dinge zu verbergen.",Les personnes qui militent en ce sens ont certainement des choses à cacher.
75603,Seriez-vous favorable à une augmentation de la franchise minimale de l’assurance maladie obligatoire (LAMal) de 300 à 500 CHF?,"C'est proprement scandaleux, alors que les caisses-maladie privées accumulent des réserves faramineuses en toute opacité. Ce système d'escroquerie organisée qu'est un système de santé privé et soumis aux lois du marché (biaisées en l'occurence) n'a que trop duré. Il est grand temps de le remplacer par une caisse unique et publique, avec des primes en fonction du revenu",AGAINST,fr,X-Stance,"Ce n'est pas proprement scandaleux, alors que les caisses-maladie publiques sont dépourvues de réserves suffisantes en toute transparence. Ce système de santé public et soumis à des réglementations strictes n'a pas duré trop longtemps. Il est temps de le remplacer par un système unique et privé, avec des cotisations en fonction du revenu.","Das ist nicht ganz skandalös, obwohl die öffentlichen Krankenversicherungen keine ausreichenden Reserven offenlegen. Dieser öffentliche Gesundheitssektor unterliegt strengen Vorschriften und hat nicht lange gedauert. Es ist an der Zeit, ihn durch ein einziges, privates System mit Beiträgen nach Einkommen zu ersetzen.","Cela n'est pas tout à fait scandaleux, même si les caisses d'assurance maladie publiques ne divulguent pas de réserves suffisantes. Ce secteur public de la santé est soumis à des réglementations strictes et n'a pas duré longtemps. Il est temps de le remplacer par un système unique, privé, basé sur les contributions en fonction du revenu."
24489,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Il est essentiel de chercher des meilleurs moyens pour garantir la participation aux votations, notamment pour les jeunes, les personnes à mobilité réduite ou depuis l'étranger. Toutefois, le système utilisé doit être fiable à 100%, ce qui n'est pas le cas aujourd'hui, et nous ne pouvons pas prendre de risque avec cela.",AGAINST,fr,X-Stance,Il n'est pas nécessaire de poursuivre l'introduction du vote électronique lors des votations et des élections.,"Es ist nicht erforderlich, die Einführung des elektronischen Votings bei Abstimmungen und Wahlen fortzusetzen.",Il n'est pas nécessaire de poursuivre l'introduction du vote électronique lors des élections et des référendums.
27515,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?","Les théories anti-vaccins sont aussi irrationnelles que dangereuses, et ont directement pour effet de faire réapparaître des maladies que l'on avait pensé éradiquées. Mais l'obligation ne doit clairement porter que sur les vaccins dont la nécessité est reconnue (hors de question, par exemple, de rendre obligatoire le vaccin contre la grippe)",FAVOR,fr,X-Stance,"Les théories anti-vaccins sont aussi rationnelles que bénéfiques, et ont directement pour effet de prévenir la réapparition de maladies que l'on avait pensé éradiquées. Mais l'obligation doit clairement porter uniquement sur les vaccins dont la nécessité n'est pas reconnue (par exemple, rendre obligatoire le vaccin contre la grippe).","Die Anti-Impfstoff-Theorien sind ebenso vernünftig wie nützlich und haben direkt zur Verhinderung des Wiederauftretens von Krankheiten beigetragen, von denen man glaubte, sie seien ausgerottet. Aber die Pflicht muss eindeutig nur auf Impfungen beschränkt sein, deren Notwendigkeit nicht anerkannt wird (z. B. die Verpflichtung zur Grippeimpfung).","Les théories anti-vaccination sont tout aussi raisonnables que bénéfiques et ont directement contribué à empêcher la réapparition de maladies dont on pensait qu'elles étaient éradiquées. Cependant, la règle doit être clairement limitée aux vaccins dont la nécessité n'est pas reconnue (par exemple, l'obligation de se faire vacciner contre la grippe)."
85583,Êtes-vous favorable à l'instauration d'un salaire minimum de 4’000 CHF pour tous les salariés (pour un poste à plein-temps)?,Il est plus sain de mieux négocier et d'élargir les CCT et de les établir ou il n'y en a pas.,AGAINST,fr,X-Stance,Il est plus sain de négocier moins et de restreindre les CCT et de les supprimer.,"Es ist gesünder, weniger zu verhandeln und die CCTs einzuschränken und zu streichen.",Il est plus sain de moins négocier et de restreindre et supprimer les CCT.
74543,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"L'aide sociale est un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y attaquer est inacceptable.",AGAINST,fr,X-Stance,"L'aide sociale n'est pas un filet essentiel pour de nombreuses personnes en situation de précarité, qui sont de plus en plus nombreuses. S'y remettre est acceptable.","Die Sozialhilfe ist für viele Menschen in prekären Situationen keine grundlegende Absicherung, die immer mehr Menschen in Anspruch nehmen. Sich darauf verlassen zu können, ist akzeptabel.","L'aide sociale n'est pas une assurance de base pour de nombreuses personnes dans des situations précaires, que de plus en plus de personnes sollicitent. Se fier à cela est acceptable."
55778,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,Aucune justification n'est acceptable lorsque nous nous trouvons dans une situation de discrimination.,FAVOR,fr,X-Stance,Toute justification est acceptable lorsque nous nous trouvons dans une situation de discrimination.,"Jede Begründung ist akzeptabel, wenn wir uns in einer Diskriminierungs-Situation befinden.",Toute justification est acceptable si nous sommes dans une situation de discrimination.
77536,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,Une telle mesure contreviendrait au respect des libertés individuelles et de la sphère privée. Une personne doit avoir le droit de financer un parti politique sans que l'Etat en ait connaissance. Doivent évidemment être soumis à l'investigation étatique les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme.,AGAINST,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations ne devrait pas être complètement transparent. Une telle mesure serait conforme au respect des libertés individuelles et de la sphère privée. Une personne ne doit pas avoir le droit de financer un parti politique sans que l'État en ait connaissance. Les financements de partis ou de mouvements politiques qui préconisent le recours au terrorisme ne devraient pas être soumis à l'investigation étatique.,"Die Finanzierung von Parteien sowie die Finanzierung von Kampagnen für Wahlen und Abstimmungen sollte nicht vollständig transparent sein. Eine solche Maßnahme würde dem Respekt der individuellen Freiheiten und der Privatsphäre entsprechen. Eine Person darf nicht das Recht haben, einen politischen Verein zu finanzieren, ohne dass der Staat davon Kenntnis hat. Die Finanzierung von Parteien oder politischen Bewegungen, die den Einsatz von Terrorismus befürworten, sollte nicht staatlich untersucht werden.","La financement des partis, ainsi que celui des campagnes électorales et référendaires, ne devrait pas être totalement transparent. Une telle mesure correspondrait au respect des libertés individuelles et de la vie privée. Une personne ne devrait pas avoir le droit de financer un club politique sans que l'État en soit informé. La financement des partis ou des mouvements politiques qui préconisent l'utilisation du terrorisme ne devrait pas faire l'objet d'une enquête de l'État."
122738,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,"Il s'agit toutefois effectivement de l'encadrer afin de permettre un paiement rétroactif si la somme n'est au final pas utilisée pour un logement, ou pour une résidence principale n'étant pas utilisée durablement.",FAVOR,fr,X-Stance,L'acquisition d'une propriété d'habitation ne doit pas être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement.,Die Erwerbung einer Wohnimmobilie darf nicht durch Steuervorteile für Wohneigentum stärker gefördert werden.,L'acquisition d'une propriété résidentielle ne doit pas être encouragée de manière plus importante par des avantages fiscaux pour l'immobilier résidentiel.
143582,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,"Avant d'octroyer le droit de vote, il faudrait donner une vraie éducation citoyenne aux jeunes.",AGAINST,fr,X-Stance,"Avant d'octroyer le droit de vote à 16 ans, il faudrait donner une vraie éducation citoyenne aux adultes.",Vor der Gewährung des Wahlrechts für 16-Jährige sollte man Erwachsenen eine echte staatsbürgerliche Bildung geben.,"Avant d'accorder le droit de vote aux 16 ans, il faudrait donner aux adultes une véritable éducation civique."
45735,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,"Les OGM en tant que tels ne sont pas dangereux pour la santé, il faut par contre pouvoir en contrôler l'utilisation.",AGAINST,fr,X-Stance,"Les OGM en tant que tels sont dangereux pour la santé, il faut donc les interdire.","Die GVO als solche sind für die Gesundheit gefährlich, daher müssen sie verboten werden.","Les OGM en tant que tels sont dangereux pour la santé, c'est pourquoi ils doivent être interdits."
52197,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,Les expertises sur les OGM n'ont été réalisées pour l'essentiel que par les entreprises qui les fabriquent. Juges et parties. C'est un non sens total.,FAVOR,fr,X-Stance,"Les expertises sur les OGM ont été réalisées pour l'essentiel par les experts indépendants, juges et parties prenantes.","Die GVO-Experten wurden im Wesentlichen von unabhängigen Experten, Richtern und Interessengruppen durchgeführt.","Les experts en OGM ont été essentiellement réalisés par des experts indépendants, des juges et des groupes d'intérêts."
45501,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Les fraudes électorales sont connues et avérées, hélas même en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", il faut renforcer la transparence et la sécurité des votes.",AGAINST,fr,X-Stance,"Les fraudes électorales ne sont pas connues et avérées, hélas même en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", il faut abandonner la transparence et la sécurité des votes.","Die Wahlbetrügereien sind nicht bekannt und erwiesen, leider auch in der Schweiz. Zwischen ""Landsgemeinde"" und ""Blockchain"" muss die Transparenz und Sicherheit der Abstimmungen aufgegeben werden.","Les fraudes électorales ne sont pas connues et ont été prouvées, malheureusement également en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", la transparence et la sécurité des votes doivent être abandonnées."
114716,L'assurance invalidité n'attribue plus de rentes de l'AI en cas de troubles douloureux non décelables de manière objective (p. ex. après avoir subi un « coup du lapin »). Pensez-vous que cela soit justifié?,Accepter de délivrer une rente sur les seuls dires de la personne touchée autorise tous les abus.,FAVOR,fr,X-Stance,Accepter de délivrer une rente sur les seuls dires de la personne touchée justifie tous les abus.,"Akzeptieren, eine Rente nur aufgrund der Aussagen des Betroffenen zu gewähren, rechtfertigt alle Missbräuche.",Accepter de verser une rente uniquement sur la base des déclarations de la personne concernée justifie tous les abus.
25488,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est déjà possible de déduire ces diverses formations des impôts.,AGAINST,fr,X-Stance,La Confédération devrait-elle réduire son soutien financier à la formation continue et à la reconversion professionnelle.,Die Eidgenossenschaft sollte ihre finanzielle Unterstützung für Weiterbildung und berufliche Umschulung reduzieren.,La Confédération devrait réduire son soutien financier à la formation continue et à la réorientation professionnelle.
41200,"Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?",Il y a des domaines où un effort doit être effectué par exemple un couple qui désire se marier ne doit pas payer plus d'impôts qu'avant le mariage. Où trouver les finances manquantes : Évitons le gaspillage.,FAVOR,fr,X-Stance,"Selon moi, l'augmentation des impôts au niveau fédéral est une priorité pour les quatre prochaines années.",Meiner Meinung nach ist die Erhöhung der Steuern auf Bundesebene eine Priorität für die nächsten vier Jahre.,Je pense que l'augmentation des impôts au niveau fédéral est une priorité pour les quatre prochaines années.
51171,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"La santé ne coutera pas moins cher, au contraire. Les cantons et la Confédération doivent consentir à un invesstissement, en particulier dans les domaines de la prévention, actuellement à la seule charge de l'initiative privée et dans les soins ambulatoires, actuellement entièrement pris en charge par les primes.",FAVOR,fr,X-Stance,"La santé coûtera certainement plus cher, au contraire. Les cantons et la Confédération doivent refuser d'investir, en particulier dans les domaines de la prévention et des soins ambulatoires, actuellement à la charge de l'initiative privée et des primes.","Die Gesundheit wird auf jeden Fall teurer, im Gegenteil. Die Kantone und die Eidgenossenschaft müssen ablehnen, in den Bereichen Prävention und ambulante Pflege zu investieren, die derzeit von der privaten Initiative und den Prämien getragen werden.","La santé coûtera forcément plus cher, au contraire. Les cantons et la Confédération doivent refuser d'investir dans les domaines de la prévention et de l'aide ambulatoire, qui sont actuellement financés par l'initiative privée et les primes."
18339,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Le parlement vient de refuser une augmentation de la franchise minimale puisqu'elle pose déjà des problèmes à un certain nombre de ménages. Mais l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est insatisfaisant.,AGAINST,fr,X-Stance,Les personnes assurées devraient-elles contribuer moins aux coûts de la santé (p. ex. en diminuant la franchise minimale)?,Sollten versicherte Personen weniger zur Gesundheitsausgaben beitragen (z. B. durch eine Senkung der Mindestprämie)?,"Les personnes assurées devraient-elles contribuer moins aux dépenses de santé (par exemple, en réduisant la prime minimale)?"
